variant,opponent,seed,seed_set,protagonist_final_money,opponent_final_money,margin,win,validation,total_revenue,total_cost,melon_harvested,melon_sold,melon_unsold,melon_revenue,melon_avg_sell_price,n_activations,first_activation_turn,elapsed_s
D_production_substitution,passive,702000,held_out,28341.0,3000.0,25341.0,1,PARTIAL,34528.06,9187.06,157,147,10,29704.46,202.07,0,,3.22
D_production_substitution,passive,702001,held_out,28226.0,3000.0,25226.0,1,PARTIAL,34534.4563,9308.4563,157,157,0,29885.83,190.36,0,,4.17
D_production_substitution,passive,702002,held_out,27865.0,3000.0,24865.0,1,PARTIAL,34175.6076,9310.6076,157,147,10,29770.3,202.52,0,,4.38
D_production_substitution,passive,702003,held_out,28057.0,3000.0,25057.0,1,PARTIAL,34337.9554,9280.9554,157,147,10,29722.21,202.19,0,,4.69
D_production_substitution,passive,702004,held_out,27510.0,3000.0,24510.0,1,PARTIAL,34310.5931,9800.5932,157,147,10,29932.66,203.62,0,,4.92
D_production_substitution,passive,702005,held_out,28121.0,3000.0,25121.0,1,PARTIAL,34433.0,9312.0,157,147,10,29714.59,202.14,0,,4.41
D_production_substitution,production_heavy,702000,held_out,23351.0,9705.0,13646.0,1,PARTIAL,29646.0,9295.0,157,147,10,16341.16,111.16,0,,5.61
D_production_substitution,production_heavy,702001,held_out,20749.0,8130.0,12619.0,1,PARTIAL,29655.3359,11906.3359,204,162,42,27115.87,167.38,0,,7.06
D_production_substitution,production_heavy,702002,held_out,23344.0,9128.0,14216.0,1,PARTIAL,29650.0444,9306.0444,157,147,10,16341.16,111.16,0,,7.19
D_production_substitution,production_heavy,702003,held_out,23509.0,7587.0,15922.0,1,PARTIAL,30625.869,10116.869,214,181,33,22285.31,123.12,0,,6.88
D_production_substitution,production_heavy,702004,held_out,24756.0,13986.0,10770.0,1,PARTIAL,31859.7693,10103.7694,219,181,38,22362.11,123.55,0,,6.07
D_production_substitution,production_heavy,702005,held_out,21452.0,14873.0,6579.0,1,PARTIAL,28745.3562,10293.3562,214,181,33,22471.19,124.15,0,,7.46
D_production_substitution,market_selling,702000,held_out,28284.0,6801.0,21483.0,1,PARTIAL,34581.0,9297.0,157,147,10,29696.88,202.02,0,,5.26
D_production_substitution,market_selling,702001,held_out,26620.0,1304.0,25316.0,1,PARTIAL,34237.9282,10617.9282,204,162,42,31698.46,195.67,0,,5.99
D_production_substitution,market_selling,702002,held_out,28279.0,2765.0,25514.0,1,PARTIAL,34585.0444,9306.0444,157,147,10,29696.88,202.02,0,,7.27
D_production_substitution,market_selling,702003,held_out,29483.0,967.0,28516.0,1,PARTIAL,36006.4416,9523.4416,214,181,33,31451.41,173.76,0,,7.06
D_production_substitution,market_selling,702004,held_out,30715.0,7596.0,23119.0,1,PARTIAL,37217.3407,9502.3407,219,181,38,31464.94,173.84,0,,6.45
D_production_substitution,market_selling,702005,held_out,28390.0,5759.0,22631.0,1,PARTIAL,35014.85,9624.85,214,181,33,31581.83,174.49,0,,6.79
D_production_substitution,animal_oriented,702000,held_out,27014.0,11281.0,15733.0,1,PARTIAL,33269.1956,9255.1956,157,147,10,29842.53,203.01,0,,5.68
D_production_substitution,animal_oriented,702001,held_out,28741.0,11418.0,17323.0,1,PARTIAL,34955.4907,9214.4907,157,157,0,29810.33,189.87,0,,6.54
D_production_substitution,animal_oriented,702002,held_out,28568.0,10599.0,17969.0,1,PARTIAL,34675.0713,9107.0713,157,147,10,29681.77,201.92,0,,5.52
D_production_substitution,animal_oriented,702003,held_out,28147.0,11866.0,16281.0,1,PARTIAL,34409.3095,9262.3095,157,147,10,29717.13,202.16,0,,6.59
D_production_substitution,animal_oriented,702004,held_out,26855.0,11065.0,15790.0,1,PARTIAL,33540.288,9685.288,157,147,10,30074.26,204.59,0,,6.88
D_production_substitution,animal_oriented,702005,held_out,28254.0,11497.0,16757.0,1,PARTIAL,34468.0245,9214.0245,157,147,10,29712.97,202.13,0,,6.53
D_production_substitution,conservative,702000,held_out,27978.0,6075.0,21903.0,1,PARTIAL,34209.2143,9231.2143,157,147,10,29757.8,202.43,0,,4.31
D_production_substitution,conservative,702001,held_out,28877.0,5717.0,23160.0,1,PARTIAL,35056.0059,9179.0059,157,157,0,29793.31,189.77,0,,5.05
D_production_substitution,conservative,702002,held_out,28349.0,6016.0,22333.0,1,PARTIAL,34584.0,9235.0,157,147,10,29696.88,202.02,0,,5.26
D_production_substitution,conservative,702003,held_out,28595.0,4911.0,23684.0,1,PARTIAL,34653.0297,9058.0297,157,147,10,29686.8,201.95,0,,5.69
D_production_substitution,conservative,702004,held_out,27787.0,5048.0,22739.0,1,PARTIAL,34254.6526,9467.6526,157,147,10,29919.0,203.53,0,,5.54
D_production_substitution,conservative,702005,held_out,27862.0,6530.0,21332.0,1,PARTIAL,34176.6432,9314.6432,157,147,10,29770.3,202.52,0,,4.89
D_production_substitution,aggressive_investment,702000,held_out,14683.0,1082.0,13601.0,1,PARTIAL,21101.5749,9418.5749,214,210,4,16962.31,80.77,0,,5.99
D_production_substitution,aggressive_investment,702001,held_out,13690.0,1588.0,12102.0,1,PARTIAL,21254.6327,10564.6327,204,191,13,8959.9,46.91,0,,7.3
D_production_substitution,aggressive_investment,702002,held_out,6519.0,10578.0,-4059.0,0,PARTIAL,13168.9384,9649.9384,157,115,42,9376.35,81.53,0,,6.7
D_production_substitution,aggressive_investment,702003,held_out,15088.0,1318.0,13770.0,1,PARTIAL,21589.9283,9501.9283,214,210,4,16958.48,80.75,0,,6.79
D_production_substitution,aggressive_investment,702004,held_out,16229.0,1249.0,14980.0,1,PARTIAL,22553.9605,9324.9605,219,211,8,16922.05,80.2,0,,7.69
D_production_substitution,aggressive_investment,702005,held_out,14348.0,1096.0,13252.0,1,PARTIAL,20829.9372,9481.9372,214,210,4,16960.59,80.76,0,,7.54
